Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Elijah Sullivan,OLB,72,214,4.69,13,,115,4.31,7.12
Chazz Surratt,ILB,74.13,229,4.59,25,31.5,125,4.18,7.04
Sage Surratt,WR,74.5,209,4.7,,,115,4.25,
Patrick Surtain,CB,74,208,4.42,18,39,131,,
Keith Taylor,CB,74.25,187,4.54,12,33.5,127,4.27,6.85
Ambry Thomas,CB,71.88,191,4.41,15,38,122,,
Zac Thomas,QB,72.63,205,4.59,,30,115,4.35,7.08
Erroll Thompson,ILB,72.5,239,4.81,,30.5,114,4.56,7.66
Tariq Thompson,SS,70.75,204,4.75,15,31,113,4.73,7.75
Kadarius Toney,WR,71.63,193,4.38,9,39.5,136,4.23,6.88
Shaka Toney,DE,74.5,242,4.53,24,39,128,4.29,7
Khyiris Tonga,DT,74.13,325,5.1,35,28,105,4.73,7.83
Austin Trammell,WR,70.13,181,4.62,21,40,124,4.11,6.75
Kyle Trask,QB,77.25,236,5.08,,31.5,113,4.38,7.08
Joe Tryon,DE,77,259,4.68,22,35,116,4.36,7.18
Carl Tucker,FB,73.5,249,4.9,,31.5,117,4.57,7.75
Jay Tufele,DT,74.13,305,5.02,30,30,105,4.9,7.81
Syrus Tuitele,OG,77.5,311,5.21,36,26,94,4.91,8.19
Payton Turner,DE,77.5,268,,23,35.5,118,4.31,7.01
Jaylen Twyman,DT,73.75,301,5.4,40,32.5,104,,8
Christian Uphoff,SS,74,209,4.64,17,33,120,4.38,7.09
Cole Van Lanen,OT,76.25,305,5.11,22,30,107,4.64,7.34
T.J. Vasher,WR,77.63,203,,,37,121,,
Tyler Vaughns,WR,74,184,4.69,7,31.5,120,4.4,7.15
Alijah Vera-Tucker,OG,76.5,308,5.13,32,32,106,4.63,7.7
Kary Vincent,CB,69.75,185,4.39,8,35.5,117,,
Gunnar Vogel,OT,78.25,306,5.47,23,26,105,4.92,7.67
Jaylen Waddle,WR,69.5,180,,,,122,,
Lamont Wade,FS,69,190,4.46,,35.5,118,4.38,7.15
Shaun Wade,CB,72.63,196,,,,122,,
Tylan Wallace,WR,71.38,194,4.5,11,33,112,4.25,6.97
Garret Wallow,OLB,73.63,220,4.65,22,32.5,122,4.12,6.87
DeAndre Washington,TE,74.25,247,,,,119,,
Austin Watkins,WR,73.5,209,4.56,18,,133,,
