name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Bemboom, Anthony",0.56,0.89,1.16,1.41,1.635,1.85,2.06,2.26,2.46,2.645,2.835,3.02,3.205,3.39,3.565,3.75,3.935,4.14,1252,200,74,L,R
"Benintendi, Andrew",0.53,0.8157142857,1.067142857,1.297142857,1.517142857,1.725714286,1.921428571,2.111428571,2.3,2.481428571,2.658571429,2.837142857,3.014285714,3.187142857,3.36,3.534285714,3.715714286,3.902857143,1266,180,69,L,L
"Benson, Will",0.545,0.845,1.1,1.33,1.545,1.745,1.94,2.125,2.305,2.485,2.66,2.83,3,3.17,3.335,3.505,3.68,3.86,1293,230,77,L,L
"Bernard, Wynton",0.56,0.86,1.11,1.34,1.55,1.75,1.94,2.13,2.31,2.48,2.65,2.82,2.98,3.15,3.31,3.47,3.63,3.8,1351,195,74,R,R
"Berti, Jon",0.548,0.846,1.098,1.326,1.54,1.742,1.934,2.118,2.298,2.476,2.65,2.822,2.99,3.154,3.32,3.486,3.652,3.82,1382,190,70,R,R
"Bethancourt, Christian",0.5575,0.87,1.13,1.37,1.595,1.805,2.005,2.2,2.385,2.5675,2.7475,2.9275,3.1025,3.28,3.45,3.62,3.795,3.9675,1399,205,75,R,R
"Betts, Mookie",0.5388888889,0.8377777778,1.095555556,1.335555556,1.558888889,1.767777778,1.966666667,2.16,2.344444444,2.525555556,2.704444444,2.882222222,3.054444444,3.226666667,3.398888889,3.571111111,3.747777778,3.931111111,1408,180,69,R,R
"Bichette, Bo",0.558,0.878,1.142,1.38,1.6,1.812,2.012,2.21,2.398,2.586,2.768,2.944,3.124,3.302,3.48,3.658,3.838,4.026,1427,190,72,R,R
"Biggio, Cavan",0.546,0.85,1.108,1.34,1.558,1.762,1.96,2.148,2.338,2.518,2.696,2.874,3.048,3.222,3.392,3.564,3.742,3.93,1450,200,74,L,R
"Bird, Greg",0.5466666667,0.85,1.123333333,1.38,1.613333333,1.84,2.053333333,2.26,2.463333333,2.66,2.86,3.053333333,3.246666667,3.443333333,3.64,3.84,4.05,4.276666667,1474,220,75,L,R
"Bishop, Braden",0.53,0.82,1.07,1.31,1.53,1.73,1.93,2.12,2.3,2.48,2.65,2.83,3,3.16,3.33,3.49,3.66,3.83,1490,178,73,R,R
"Blackmon, Charlie",0.5377777778,0.8333333333,1.09,1.325555556,1.546666667,1.755555556,1.956666667,2.147777778,2.336666667,2.521111111,2.7,2.877777778,3.054444444,3.228888889,3.4,3.576666667,3.756666667,3.941111111,1512,221,75,L,L
"Blanco, Dairon",0.54,0.84,1.09,1.31,1.51,1.7,1.88,2.06,2.23,2.4,2.57,2.73,2.9,3.06,3.21,3.37,3.53,3.7,1556,170,72,R,R
