player_id,player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,body_fat_pct,drafted
1630203.0,Grant Riller,2020.0,2020,56.0,PG-SG,72.25,178.4,77.25,96.5,32.5,39.5,,11.17,3.07,2.4499999999999997,8.0,8.5,5.4,True
12016.0,Tom Timmerrmans,,2004,,PF-C,82.5,272.0,83.0,107.5,23.0,26.5,15.0,13.129999999999999,3.63,,,,15.2,False
203906.0,Devyn Marble,2014.0,2014,56.0,SG,77.0,192.4,81.0,102.0,29.0,35.0,,11.32,3.2800000000000002,3.08,8.25,8.5,6.9,True
1626165.0,Brandon Ashley,,2015,,PF,79.25,228.0,87.75,105.0,31.5,35.5,9.0,11.209999999999999,3.58,3.3499999999999996,9.0,9.5,8.8,False
2637.0,Alex Scales,,2000,,SG-PG,74.25,184.5,81.0,97.5,38.5,42.5,10.0,10.98,3.21,,,,,False
12226.0,JR Reynolds,,2007,,PG,72.0,188.0,75.25,95.0,27.5,34.5,15.0,11.69,3.24,,,,8.2,False
12291.0,Mire Chatman,,2002,,PG-SG,72.0,174.0,78.0,98.0,29.0,33.0,1.0,11.12,3.18,,,,,False
203133.0,Robbie Hummel,2012.0,2012,58.0,SF,79.25,218.0,80.5,102.0,27.5,30.0,13.0,11.56,3.4099999999999997,,8.5,9.5,9.4,True
201961.0,Wayne Ellington,2009.0,2009,28.0,SG,76.25,202.4,78.5,100.0,31.5,38.0,13.0,11.139999999999999,3.2,,,,5.5,True
12169.0,Greg Stevenson,,2001,,SF,75.75,215.0,84.5,102.0,30.0,35.5,15.0,11.29,3.23,,,,7.3,False
1627780.0,Gary Payton II,,2016,,PG,74.0,183.8,80.0,99.5,31.5,38.5,,11.57,3.23,3.17,8.75,9.5,3.9499999999999997,False
1629610.0,DaQuan Jeffries,,2019,,SF-PF,76.0,215.6,83.25,104.0,,,,,,,9.5,10.25,3.9,False
12153.0,Charles Hathaway,,2001,,C,80.0,274.0,86.0,107.5,,,,,,,,,,False
1629671.0,Miye Oni,2019.0,2019,58.0,SG,76.25,205.6,82.75,100.5,30.5,38.5,19.0,11.709999999999999,3.17,3.12,9.0,10.0,4.9,True
201156.0,Nick Young,2007.0,2007,16.0,SG-SF,77.0,206.0,84.0,100.5,39.5,40.5,6.0,11.0,3.25,,,,6.8,True
2810.0,Andre Brown,,2004,,PF-C,80.0,236.0,83.0,107.0,32.0,35.5,18.0,11.7,3.22,,,,6.0,False
1628407.0,Dwayne Bacon,2017.0,2017,40.0,SG-SF,76.75,221.6,82.0,103.5,30.0,36.5,8.0,11.7,3.22,3.22,8.75,10.0,7.9,True
1628992.0,Justin Jackson (UMD),2018.0,2017,43.0,SF,77.75,219.4,87.25,107.0,26.5,31.5,,11.78,3.4299999999999997,3.08,9.0,9.5,7.1,True
2470.0,Smush Parker,,2002,,PG-SG,74.5,179.0,82.0,107.5,21.0,28.5,1.0,12.3,3.2600000000000002,,,,,False
201580.0,JaVale McGee,2008.0,2008,18.0,C-PF,83.0,241.0,90.0,114.5,27.0,32.5,7.0,12.75,3.25,,,,5.3,True
203083.0,Andre Drummond,2012.0,2012,9.0,C,81.75,278.6,90.25,109.5,31.5,33.5,10.0,10.83,3.3899999999999997,,9.5,9.5,7.5,True
200081.0,Jamario Moon,,2001,,SF,78.5,185.0,83.5,103.0,33.0,43.0,0.0,11.639999999999999,3.08,,,,5.3,False
1629678.0,Admiral Schofield,2019.0,2019,42.0,SF,76.0,240.6,81.75,102.5,30.0,34.0,15.0,10.77,3.3699999999999997,2.8699999999999997,8.75,9.0,6.8,True
12237.0,Avis Wyatt,,2007,,PF,80.75,212.0,85.0,107.0,27.5,32.0,12.0,11.46,3.23,,,,3.3,False
12103.0,Doug Wrenn,,2003,,SF-PF,77.75,220.0,91.5,100.5,34.5,41.0,15.0,11.38,3.17,,,,7.3,False
12222.0,Marko Lekic,,2007,,C,81.0,267.0,85.0,108.5,24.0,30.5,19.0,11.96,3.4299999999999997,,,,11.4,False
1626145.0,Tyus Jones,2015.0,2015,24.0,PG,72.5,184.6,77.0,97.0,26.5,32.5,2.0,11.84,3.32,2.9499999999999997,8.25,8.75,6.5,True
203467.0,Carrick Felix,2013.0,2013,33.0,SF-SG,76.75,202.6,81.25,103.5,32.0,38.5,15.0,11.16,3.25,3.09,8.5,9.5,3.3,True
12167.0,Kenny Satterfield,,2001,,PG,73.0,176.0,76.5,98.0,28.5,33.0,3.0,12.05,3.2,,,,6.7,False
12003.0,Marcus Moore,,2004,,PG-SG,76.0,202.0,81.0,101.5,25.0,30.0,,11.31,3.34,,,,14.8,False
2251.0,Eric Chenowith,2001.0,2001,42.0,C,85.0,264.0,88.0,111.0,23.5,27.5,6.0,12.5,3.59,,,,12.9,True
12288.0,Brian Brown,,2002,,PG-SG,74.5,194.0,79.0,99.0,26.0,33.0,8.0,11.43,3.29,,,,,False
201143.0,Al Horford,2007.0,2007,3.0,PF,80.0,246.0,84.75,107.0,31.0,35.5,20.0,12.15,3.3699999999999997,,,,9.1,True
202330.0,Gordon Hayward,2010.0,2010,9.0,SF,78.75,211.0,79.75,103.0,30.5,34.5,10.0,11.729999999999999,3.22,,8.5,9.25,6.9,True
202729.0,Josh Selby,2011.0,2011,49.0,SG-PG,73.75,194.6,77.25,98.0,29.5,42.0,5.0,11.129999999999999,3.2,,8.5,9.0,7.9,True
202684.0,Tristan Thompson,2011.0,2011,4.0,PF,79.5,227.4,85.25,108.5,30.0,35.0,9.0,10.92,3.2600000000000002,,8.75,9.25,6.2,True
1628403.0,Caleb Swanigan,2017.0,2017,26.0,PF,79.5,245.6,87.0,108.0,,,,,,,9.5,10.25,,True
201171.0,Carl Landry,2007.0,2007,31.0,PF,79.0,248.0,83.0,102.5,31.5,36.5,21.0,11.350000000000001,3.29,,,,7.5,True
1629025.0,Kris Wilkes,,2018,,SF,78.5,205.0,82.25,103.5,28.0,35.5,1.0,11.29,3.24,3.16,8.75,9.25,5.1499999999999995,False
1627771.0,Michael Gbinije,2016.0,2016,49.0,SG,77.5,204.6,79.5,101.0,33.5,37.5,,11.0,3.12,3.19,8.0,9.0,5.4,True
